filtered_data, frequency, frequency_magnitude, threshold
619.047030, 93261.718750, 5258.764173, 173.727273
168.257558, 93750.000000, 4696.894741, 173.727273
-389.068707, 94238.281250, 2100.966037, 173.727273
-691.802605, 94726.562500, 1315.657425, 173.727273
-599.503533, 95214.843750, 4698.712994, 173.727273
-293.934420, 95703.125000, 7200.321292, 173.727273
40.381584, 96191.406250, 7305.199476, 173.727273
249.319228, 96679.687500, 5571.903681, 173.727273
230.499990, 97167.968750, 6163.072986, 173.727273
138.391629, 97656.250000, 3109.167001, 173.727273
-215.800197, 98144.531250, 1687.517502, 173.727273
-578.096807, 98632.812500, 6710.051575, 173.727273
-522.729149, 99121.093750, 5797.454927, 173.727273
-266.192857, 99609.375000, 7009.263686, 173.727273
39.928471, 100097.656250, 2181.241813, 173.727273
428.333258, 100585.937500, 3486.240080, 173.727273
832.693250, 101074.218750, 907.450883, 173.727273
878.228355, 101562.500000, 3876.597225, 173.727273
696.544275, 102050.781250, 11458.867042, 173.727273
274.897943, 102539.062500, 7724.604859, 173.727273
-256.341959, 103027.343750, 1279.683402, 173.727273
-693.422645, 103515.625000, 3400.654834, 173.727273
-915.225260, 104003.906250, 1067.696414, 173.727273
-869.616569, 104492.187500, 4303.781168, 173.727273
-503.045271, 104980.468750, 3122.033106, 173.727273
-61.071337, 105468.750000, 407.473291, 173.727273
440.938712, 105957.031250, 2886.107960, 173.727273
803.150212, 106445.312500, 4497.395591, 173.727273
710.818710, 106933.593750, 971.607042, 173.727273
464.227072, 107421.875000, 7104.254249, 173.727273
45.712285, 107910.156250, 8657.916172, 173.727273
-317.975178, 108398.437500, 4155.389054, 173.727273
-603.192701, 108886.718750, 536.456330, 173.727273
-787.407665, 109375.000000, 3417.994073, 173.727273
-627.215950, 109863.281250, 1785.256595, 173.727273
-141.711896, 110351.562500, 5331.578930, 173.727273
453.433316, 110839.843750, 11275.514877, 173.727273
688.333852, 111328.125000, 3088.409331, 173.727273
815.409786, 111816.406250, 8140.194271, 173.727273
647.129989, 112304.687500, 9213.656099, 173.727273
395.300279, 112792.968750, 4321.327703, 173.727273
-5.669990, 113281.250000, 153.879805, 173.727273
-335.320487, 113769.531250, 2227.048661, 173.727273
-592.911515, 114257.812500, 3851.356472, 173.727273
-644.093782, 114746.093750, 2682.840953, 173.727273
-654.632705, 115234.375000, 5836.177107, 173.727273
-626.060375, 115722.656250, 722.244289, 173.727273
-278.723756, 116210.937500, 2599.067378, 173.727273
-28.586837, 116699.218750, 14473.501026, 173.727273
345.338958, 117187.500000, 10042.935108, 173.727273
626.105934, 117675.781250, 2019.347686, 173.727273
756.186234, 118164.062500, 5421.916597, 173.727273
772.860299, 118652.343750, 13377.307382, 173.727273
687.972732, 119140.625000, 7072.380384, 173.727273
455.015664, 119628.906250, 1784.653694, 173.727273
-57.155429, 120117.187500, 6126.129061, 173.727273
-633.283158, 120605.468750, 3601.998081, 173.727273
-1049.122819, 121093.750000, 1372.772730, 173.727273
-1129.939533, 121582.031250, 1517.669958, 173.727273
-834.059620, 122070.312500, 1758.315855, 173.727273
-400.233862, 122558.593750, 4117.910702, 173.727273
4.772650, 123046.875000, 3893.000801, 173.727273
536.605190, 123535.156250, 7365.339267, 173.727273
903.143199, 124023.437500, 2452.899523, 173.727273
