raw_audio, filtered_data, frequency, frequency_magnitude, frequency_magnitude, threshold
2218.707520, 261.799308, 51269.531250, 5084.127080, 3607.207743, 992.727273
2218.707520, 222.401098, 51513.671875, 13859.241919, 11156.392634, 992.727273
2218.707520, 177.813782, 51757.812500, 10765.680454, 7734.715294, 992.727273
956.707520, 123.104956, 52001.953125, 9412.062614, 7255.568750, 992.727273
-1731.292480, 44.128703, 52246.093750, 5039.974592, 3951.707575, 992.727273
-1731.292480, -21.013374, 52490.234375, 4699.789115, 8121.748143, 992.727273
-1731.292480, -30.721109, 52734.375000, 8563.834029, 5829.108907, 992.727273
-1731.292480, -59.987099, 52978.515625, 6252.092673, 10164.022418, 992.727273
-1731.292480, -80.878956, 53222.656250, 8751.260703, 3402.391613, 992.727273
-1731.292480, -101.747548, 53466.796875, 8165.929862, 1938.181390, 992.727273
-1731.292480, -118.744482, 53710.937500, 8994.503866, 13890.340167, 992.727273
-1731.292480, -132.583614, 53955.078125, 3450.952138, 10513.810960, 992.727273
-1731.292480, -142.683659, 54199.218750, 6510.961751, 11799.837917, 992.727273
-1731.292480, -148.986798, 54443.359375, 10312.219411, 5558.418848, 992.727273
-1731.292480, -151.474445, 54687.500000, 15262.709795, 24409.765108, 992.727273
-1731.292480, -150.048330, 54931.640625, 19346.137447, 9180.177001, 992.727273
-1731.292480, -144.788342, 55175.781250, 147635.941333, 152791.236580, 992.727273
-1731.292480, -135.739178, 55419.921875, 12446.839721, 1630.270429, 992.727273
-1731.292480, -122.846779, 55664.062500, 26966.602276, 22844.620674, 992.727273
-1731.292480, -106.988566, 55908.203125, 22013.349066, 10160.718873, 992.727273
-1731.292480, -86.612357, 56152.343750, 20029.802217, 11098.795957, 992.727273
-1731.292480, -68.019424, 56396.484375, 16087.302169, 5223.698549, 992.727273
-1731.292480, -35.846502, 56640.625000, 13056.652429, 6570.222213, 992.727273
-1731.292480, -38.308082, 56884.765625, 14771.287495, 4621.677129, 992.727273
-1731.292480, 57.832684, 57128.906250, 13967.032358, 4727.526663, 992.727273
-1731.292480, 128.190102, 57373.046875, 14357.512203, 3256.899520, 992.727273
-1731.292480, 177.963862, 57617.187500, 12364.103525, 3155.214217, 992.727273
-1731.292480, 222.203917, 57861.328125, 10646.541853, 4495.430836, 992.727273
-1731.292480, 263.297724, 58105.468750, 10449.126860, 5270.413407, 992.727273
-1731.292480, 294.563897, 58349.609375, 10877.603137, 11635.206074, 992.727273
-1731.292480, 314.591059, 58593.750000, 8204.257750, 5952.232408, 992.727273
-1731.292480, 320.430664, 58837.890625, 4159.868609, 7877.322262, 992.727273
-1731.292480, 308.597408, 59082.031250, 3427.099619, 8919.864772, 992.727273
-1731.292480, 275.989623, 59326.171875, 14806.880466, 24357.671158, 992.727273
-1731.292480, 219.789256, 59570.312500, 17773.066723, 19936.333111, 992.727273
-1731.292480, 137.720697, 59814.453125, 142736.070748, 153051.188770, 992.727273
-1731.292480, 27.832048, 60058.593750, 16577.721463, 16152.843724, 992.727273
-1731.292480, -110.628289, 60302.734375, 27460.046078, 25636.317022, 992.727273
-1731.292480, -278.975363, 60546.875000, 20989.080176, 15110.922815, 992.727273
-1731.292480, -473.751652, 60791.015625, 16447.946461, 10821.571793, 992.727273
-1731.292480, -697.473987, 61035.156250, 7063.319517, 3695.927507, 992.727273
-1731.292480, -945.688571, 61279.296875, 9523.785962, 8038.008641, 992.727273
-1731.292480, -1214.677261, 61523.437500, 4440.455723, 2028.597487, 992.727273
-1731.292480, -1500.512964, 61767.578125, 10081.355592, 7224.372344, 992.727273
-1731.292480, -1798.267736, 62011.718750, 2428.844901, 469.131256, 992.727273
-1731.292480, 1847.553867, 62255.859375, 3485.583022, 4656.388947, 992.727273
-1731.292480, 1543.032557, 62500.000000, 4654.568013, 2503.285316, 992.727273
-1731.292480, 1243.249691, 62744.140625, 10291.058792, 9490.601176, 992.727273
-1731.292480, 957.262578, 62988.281250, 8017.757836, 10524.502012, 992.727273
-1731.292480, 687.958328, 63232.421875, 5215.824747, 8680.758562, 992.727273
-1731.292480, 441.661427, 63476.562500, 4170.091796, 468.758523, 992.727273
-1731.292480, 221.988518, 63720.703125, 1092.313179, 4660.156044, 992.727273
-1731.292480, 34.661043, 63964.843750, 5383.604385, 11463.654583, 992.727273
-1731.292480, -118.641224, 64208.984375, 9677.046367, 15854.381563, 992.727273
-1731.292480, -235.521983, 64453.125000, 64497.833343, 69283.822555, 992.727273
-1731.292480, -317.745155, 64697.265625, 11142.936803, 14964.257407, 992.727273
-1731.292480, -366.283145, 64941.406250, 16355.618927, 14502.487383, 992.727273
-1731.292480, -380.331980, 65185.546875, 19176.514246, 12640.437453, 992.727273
-1731.292480, -366.222919, 65429.687500, 15636.263554, 7038.269821, 992.727273
-1731.292480, -327.264145, 65673.828125, 10591.776863, 1443.278183, 992.727273
-1731.292480, -269.408342, 65917.968750, 4820.401737, 5443.096975, 992.727273
-1731.292480, -196.304835, 66162.109375, 11372.526682, 10553.819673, 992.727273
-1731.292480, -113.732481, 66406.250000, 11072.973003, 5883.607825, 992.727273
-1731.292480, -29.671770, 66650.390625, 15470.616719, 5957.842385, 992.727273
-22.292480, 61.392118, 66894.531250, 11099.453878, 343.776667, 992.727273
2281.707520, 167.185528, 67138.671875, 4246.400213, 6616.195043, 992.727273
2217.707520, 237.375320, 67382.812500, 14991.283769, 13711.000641, 992.727273
