index, value, filtered
1513, 28, -6
1514, 28, -3
1515, 14, -2
1516, 26, 3
1517, 27, 4
1518, 26, 0
1519, 14, 6
1520, 14, 6
1521, 14, 6
1522, 14, 5
1523, 14, 5
1524, 14, 4
1525, 14, 2
1526, 14, 1
1527, 26, 0
1528, 26, 0
1529, 26, -2
1530, 14, 4
1531, 14, -4
1532, 14, -4
1533, 14, -4
1534, 14, -4
1535, 14, -4
1536, 14, -3
1537, 14, -2
1538, 14, -1
1539, 14, 0
1540, 14, -4
1541, 14, 2
1542, 14, 3
1543, 14, 4
1544, 14, 0
1545, 14, 6
1546, 14, 1
1547, 14, 6
1548, 14, 1
1549, 26, 0
1550, 26, 0
1551, 28, -1
1552, 28, -2
1553, 26, -4
1554, 27, -6
1555, 28, -2
1556, 28, 17
1557, 28, -6
1558, 28, -7
1559, 28, -8
1560, 28, -16
1561, 28, 12
1562, 28, 12
1563, 28, 13
1564, 28, 13
1565, 28, -13
1566, 28, -14
1567, 28, -11
1568, 28, 21
1569, 28, -7
1570, 28, -3
1571, 28, -1
1572, 28, -1
1573, 28, 0
1574, 35, 1
1575, 28, 3
1576, 35, 3
1577, 28, 4
1578, 35, 3
1579, 35, 3
1580, 35, 3
1581, 35, 1
1582, 35, 0
1583, 35, -2
1584, 35, -5
1585, 35, -22
1586, 38, -8
1587, 38, 1
1588, 41, -1
1589, 41, 7
1590, 41, 7
1591, 38, 3
1592, 41, 0
1593, 41, -2
1594, 41, 6
1595, 41, 4
1596, 41, 3
1597, 41, 2
1598, 41, 0
1599, 41, 0
1600, 41, 0
1601, 41, 0
1602, 27, 0
1603, -118, 0
1604, -118, -14
1605, -118, 0
1606, -118, 2
1607, -118, 3
1608, -118, -6
1609, -118, -5
1610, -68, -3
1611, -67, -2
1612, -67, -1
1613, -67, -1
1614, -67, 0
1615, -51, 0
1616, -49, 11
1617, -49, 11
1618, -36, 11
1619, -36, 0
1620, -35, -1
1621, -35, -1
1622, -35, -1
1623, -35, -2
1624, -29, -2
1625, -28, -2
1626, -25, -2
1627, -23, -2
1628, -19, -2
1629, -17, -1
1630, -19, -1
1631, -20, -1
1632, -17, -1
1633, -12, -1
1634, -17, -1
1635, -17, -1
1636, -13, -2
1637, -12, -2
1638, -12, 8
1639, -12, 7
1640, -17, 8
1641, -12, 6
1642, -12, 3
1643, -12, 2
1644, -12, 2
1645, -12, 0
1646, -4, -1
1647, -12, -2
1648, -12, -4
1649, -12, -5
1650, -12, -5
1651, -12, -5
1652, -12, -5
1653, -12, -5
1654, -12, -4
1655, -17, -3
1656, -12, -1
1657, -12, 0
1658, -12, 0
1659, -12, 2
1660, -17, 3
1661, -13, 4
